"method","sim","n","betamin","is.true.model.intop.kappa.o","is.true.model.intop.kappa.oplusLASSO","is.s.hat.nan","s.hat","s0.hat","s1.hat","time.l0","time.lasso.cv","time.scad.cv","sel.model","est.mse","recovery","nb.tI.b0","nb.tI.b1","nb.tII.b0","nb.tII.b1","est.size","FP","TP","FDR","power"
"EBIC",36,700,0.33,"TRUE","TRUE","FALSE","19.9048226141035","9.89737647215838","10.0074461419451","14.549","0.518","1.125","1,2,3,4,5,6,7,8,9,10,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043",4.21798063016792e-05,TRUE,0,0,0,0,20,0,20,0,1
"EBIC",37,700,0.33,"TRUE","TRUE","FALSE","20.1132401978915","10.1117291723815","10.00151102551","13.879","0.506","1.094","1,2,3,4,5,6,7,8,9,10,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043",5.87115706544397e-05,TRUE,0,0,0,0,20,0,20,0,1
"EBIC",38,700,0.33,"TRUE","TRUE","FALSE","20.1779344998899","10.1757517111756","10.0021827887143","12.858","0.493","1.044","1,2,3,4,5,6,7,8,9,10,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043",3.83516595838694e-05,TRUE,0,0,0,0,20,0,20,0,1
"EBIC",39,700,0.33,"TRUE","TRUE","FALSE","20.4651888221737","10.4627500043881","10.0024388177856","14.518","0.618","1.188","1,2,3,4,5,6,7,8,9,10,444,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043",0.000110082697751165,FALSE,1,0,0,0,21,1,20,0.0476190476190476,1
"EBIC",4,700,0.33,"TRUE","TRUE","FALSE","20.0960152532882","10.0943262289344","10.0016890243538","12.697","0.51","1.106","1,2,3,4,5,6,7,8,9,10,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043",7.06556421000466e-05,TRUE,0,0,0,0,20,0,20,0,1
"EBIC",40,700,0.33,"TRUE","TRUE","FALSE","20.1998906675946","10.1976242939975","10.0022663735971","15.67","0.534","1.211","1,2,3,4,5,6,7,8,9,10,138,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043",8.60140947977894e-05,FALSE,1,0,0,0,21,1,20,0.0476190476190476,1
"EBIC",41,700,0.33,"TRUE","TRUE","FALSE","20.0183516047165","10.0166233261653","10.0017282785512","12.907","0.52","1.23","1,2,3,4,5,6,7,8,9,10,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043",5.67474907263055e-05,TRUE,0,0,0,0,20,0,20,0,1
"EBIC",42,700,0.33,"TRUE","TRUE","FALSE","20.2687907291245","10.2669273084607","10.0018634206638","14.539","0.496","1.094","1,2,3,4,5,6,7,8,9,10,1006,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043",0.00011237115942892,FALSE,1,0,0,0,21,1,20,0.0476190476190476,1
"EBIC",43,700,0.33,"TRUE","TRUE","FALSE","20.1578087304331","10.1563309270703","10.0014778033628","12.706","0.51","1.056","1,2,3,4,5,6,7,8,9,10,382,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043",8.78198661768549e-05,FALSE,1,0,0,0,21,1,20,0.0476190476190476,1
"EBIC",44,700,0.33,"TRUE","TRUE","FALSE","20.106248558969","10.1047066666155","10.0015418923536","12.231","0.501","1.093","1,2,3,4,5,6,7,8,9,10,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043",4.38355144462216e-05,TRUE,0,0,0,0,20,0,20,0,1
"EBIC",45,700,0.33,"TRUE","TRUE","FALSE","20.1922026107717","10.1508324919291","10.0413701188426","13.961","0.509","1.128","1,2,3,4,5,6,7,8,9,10,57,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043",8.08304472961734e-05,FALSE,1,0,0,0,21,1,20,0.0476190476190476,1
"EBIC",46,700,0.33,"TRUE","TRUE","FALSE","20.1061272476565","10.104823327129","10.0013039205275","13.284","0.507","1.065","1,2,3,4,5,6,7,8,9,10,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043",4.48769791158021e-05,TRUE,0,0,0,0,20,0,20,0,1
"EBIC",47,700,0.33,"TRUE","TRUE","FALSE","20.1320956261299","10.1237445634106","10.0083510627193","12.933","0.508","1.101","1,2,3,4,5,6,7,8,9,10,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043",9.75398440465944e-05,TRUE,0,0,0,0,20,0,20,0,1
"EBIC",48,700,0.33,"TRUE","TRUE","FALSE","20.1249737311246","10.1234903187941","10.0014834123306","13.076","0.518","1.186","1,2,3,4,5,6,7,8,9,10,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043",5.76645237784604e-05,TRUE,0,0,0,0,20,0,20,0,1
"EBIC",49,700,0.33,"TRUE","TRUE","FALSE","20.2069152671476","10.2044605413442","10.0024547258034","13.2","0.51","1.119","1,2,3,4,5,6,7,8,9,10,90,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043",0.000127425959571068,FALSE,1,0,0,0,21,1,20,0.0476190476190476,1
"EBIC",5,700,0.33,"TRUE","TRUE","FALSE","20.3317406426827","10.3290260196793","10.0027146230035","14.084","0.531","1.229","1,2,3,4,5,6,7,8,9,10,646,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043",0.000117625792816609,FALSE,1,0,0,0,21,1,20,0.0476190476190476,1
"EBIC",50,700,0.33,"TRUE","TRUE","FALSE","20.1858389358447","10.183308312766","10.0025306230787","13.838","0.489","1.038","1,2,3,4,5,6,7,8,9,10,950,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043",7.48560035928402e-05,FALSE,1,0,0,0,21,1,20,0.0476190476190476,1
